Tanguy Ndombele (Tottenham),Tottenham,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60
Youri Tielemans (Leicester City),Leicester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44
Arthur Melo (Juventus),Juventus,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
Ben Chilwell (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
Bruno Fernandes (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
Diogo Jota (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
Kai Havertz (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
Leroy Sane (Bayern Munich),Bayern Munich,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
Miralem Pjanic (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Ruben Dias (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
Thomas Partey (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Timo Werner (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
Victor Oshimhen (Napoli),Napoli,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
